bennett_id,la_char,lb_value,lb_visual_sim,cm_value,cm_confidence,cg_value,refined_value,decision,confidence_score,in_conflict,evidence_summary
AB 01,𐘀,da,1.00,ta,HIGH,ta,da,UNCERTAIN,73.5,True,LB=83; CM=HIGH; GC=65; Pos#27; Ng#3
AB 02,𐘁,ro,1.00,,,,ro,UNCERTAIN,42.8,False,LB=76; GC=45; Pos#6; Ng#17
AB 03,𐘂,pa,1.00,pa,HIGH,pa,pa,CONFIRM,74.5,False,LB=80; CM=HIGH; GC=61; Pos#21; Ng#9
AB 04,𐘃,te,1.00,te,HIGH,te,te,CONFIRM,57.6,False,LB=70; CM=HIGH; GC=28; Pos#32; Ng#4
AB 05,𐘄,to,1.00,to,HIGH,to,to,CONFIRM,65.5,False,LB=74; CM=HIGH; GC=35; Pos#18; Ng#39
AB 06,𐘅,na,1.00,na,HIGH,na,na,CONFIRM,65.6,False,LB=75; CM=HIGH; GC=43; Pos#13; Ng#7
AB 07,𐘆,di,1.00,ti,HIGH,ti,di,UNCERTAIN,69.2,True,LB=76; CM=HIGH; GC=55; Pos#20; Ng#6
AB 08,𐘇,a,1.00,a,HIGH,a,a,CONFIRM,65.1,False,LB=75; CM=HIGH; GC=32; Pos#19; Ng#20
AB 09,𐘈,se,1.00,se,HIGH,se,se,CONFIRM,68.3,False,LB=76; CM=HIGH; GC=42; Pos#24; Ng#19
AB 10,𐘉,u,1.00,u,HIGH,u,u,CONFIRM,67.3,False,LB=76; CM=HIGH; GC=38; Pos#35; Ng#31
AB 11,𐘊,si,1.00,si,HIGH,si,si,CONFIRM,73.7,False,LB=78; CM=HIGH; GC=57; Pos#10; Ng#32
AB 12,𐘋,so,1.00,so,HIGH,so,so,CONFIRM,65.3,False,LB=72; CM=HIGH; GC=36; Pos#22; Ng#35
AB 13,𐘌,me,1.00,me,MEDIUM,me,me,CONFIRM,57.5,False,LB=74; CM=MEDIUM; GC=38; Pos#29; Ng#34
AB 14,𐘍,do,1.00,to,MEDIUM,to,do,UNCERTAIN,61.9,False,LB=74; CM=MEDIUM; GC=52; Pos#17; Ng#30
AB 15,𐘎,mo,1.00,mo,MEDIUM,mo,mo,CONFIRM,59.3,False,LB=62; CM=MEDIUM; Ng#24
AB 16,𐘏,qa,1.00,ka,MEDIUM,ka,qa,UNCERTAIN,48.1,True,LB=68; CM=MEDIUM; Pos#1; Ng#11
AB 17,𐘐,za,1.00,za,HIGH,za,za,CONFIRM,78.1,False,LB=73; CM=HIGH; Pos#31; Ng#43
AB 18,𐘑,zo,1.00,zo,MEDIUM,zo,zo,CONFIRM,61.6,False,LB=66; CM=MEDIUM; Pos#34; Ng#23
AB 19,𐘒,zo?,1.00,,,,?,UNCERTAIN,0.0,False,no evidence
AB 20,𐘓,zo?,1.00,,,,zo?,UNCERTAIN,0.0,False,no evidence
AB 21,𐘔,mi,1.00,mi,MEDIUM,mi,mi,CONFIRM,60.4,False,LB=64; CM=MEDIUM; Ng#21
AB 22,𐘖,pi,1.00,pi,HIGH,pi,pi,CONFIRM,54.7,False,LB=68; CM=HIGH; Pos#4; Ng#14
AB 23,𐘘,mu,1.00,ma,HIGH,ma,mu,UNCERTAIN,61.5,True,LB=69; CM=HIGH; GC=28; Pos#16; Ng#18
AB 24,𐘙,ne,1.00,ne,HIGH,ne,ne,CONFIRM,71.3,False,LB=78; CM=HIGH; GC=52; Pos#28; Ng#13
AB 26,𐘚,ru,1.00,ru,HIGH,ru,ru,CONFIRM,72.2,False,LB=78; CM=HIGH; GC=58; Pos#38; Ng#8
AB 27,𐘛,re,1.00,re,HIGH,re,re,CONFIRM,64.9,False,LB=65; CM=HIGH; Pos#9; Ng#2
AB 28,𐘜,i,1.00,i,HIGH,i,i,CONFIRM,78.7,False,LB=74; CM=HIGH; Pos#39; Ng#29
AB 29,𐘝,pu,1.00,,,,pu,UNCERTAIN,63.2,False,LB=75; GC=50; Pos#37; Ng#10
AB 30,𐘞,ni,1.00,ni,HIGH,ni,ni,CONFIRM,62.7,False,LB=70; CM=HIGH; GC=30; Pos#11; Ng#25
AB 31,𐘟,sa,1.00,sa,HIGH,sa,sa,CONFIRM,75.3,False,LB=68; CM=HIGH; Pos#8; Ng#33
AB 32,𐘠,?,1.00,,,,i,CONFIRM,67.0,False,GC=67
