greek,transliteration,english_gloss,minoan_form,category,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period,semantic_score,confidence_score,found_commodities,context_syllabograms,text_type,object_type,full_inscription_text,full_transliteration,sign_count,num_logograms,num_numerals,num_fractions,logogram_list,numeral_list,context_before_5,context_after_5,findspot_context,findspot_lat,findspot_lon,findspot_inscription_count,findspot_has_parallels,linear_b_parallels,semantic_field,context_plausibility,notes
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKU,0,0,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,DINAU,administrative,tablet (page-shaped),𐘞 𐘁 𐄁 𐘃 𐄁 𐙍 𐄁 𐘂 𐘦 𐄁 𐄋 𐝕 𐙚 𐘹 𐄐 𐘆 𐘅 𐘉 𐄊 𐘿 𐘫 𐄈 𐙰 𐘆 𐘴 𐄈 𐝆 𐘳 𐘚 𐙌 𐄈 𐝆 𐘇 𐘘 𐄊 𐝃 𐙂 𐘁 𐄒 𐄇 𐝕,SA RO 𐄁 TE 𐄁 VIN 𐄁 PA DE 𐄁 5 ³⁄₄ *306 TU 10 DI NA U 4 QE PU 2 *324 DI RA 2 ¹⁄₂ TA I AROM 2 ¹⁄₂ A RU 4 ¹⁄₄ KU RO 31 ³⁄₄ [?],41,5,0,0,³⁄₄; 𐝕; ¹⁄₂; 𐝆; ¹⁄₂; ¹⁄₄; 𐝃; [?],,TA I AROM 2 ¹⁄₂,RU 4 ¹⁄₄ KU RO,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ³⁄₄, 𐝕, ¹⁄₂",exact phonetic match; 5 logogram(s) present; text: administrative
Λύκτος,Lyktos,Lyctus,lukt,place_name,RUKUTU,RUKUTU,0,0,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,𐝫RI,administrative,tablet (page-shaped),𐝫 𐄁 𐝫 𐘽 𐘬 𐝫 𐝫 𐘳 𐘅 𐘠 𐄁 𐄇 𐝫 𐝫 𐝫 𐘭 𐄇 𐘲 𐘸 𐝫 𐝫 𐄇 𐘠 𐘬 𐘝 𐄇 𐝫 𐝫 𐝫 𐘤 𐘴 𐄇 𐘇 𐘘 𐄇 𐚞 𐄇 𐙢 𐄇 𐙂 𐘰 𐘯 𐄇 𐘹 𐘲 𐘜 𐄇 𐘸 𐄇 — 𐝫 𐄋 𐘹 𐄊 𐘸 𐄇 𐝫 𐝫,𐝫 𐄁 RA₂ DU ? TA TI 𐄁 1 ? 𐝫 ? RI ? KI ? 𐝫 ? TI DU 1 ? ? SI RA 1 ? RU ? *370 1 ? 1 ? KU NU 1 TU SU 1 ? KI 1 — ? 𐝫 5 TU 4 KI ? 𐝫 ja 𐄊 ? 𐄇 𐝫 𐝫,58,1,0,0,NU; 𐚞,,"
 SI RA 1 
","
 *370 1 
 1",,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: NU, 𐚞",exact phonetic match; 1 logogram(s) present; text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,RURISU,1,1,154,HT118,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,𐄁MADI,administrative,tablet (page-shaped),𐙄 𐄁 𐛀 𐄁 𐙁 𐘆 𐄐 𐄋 𐘸 𐄐 𐘌 𐘌 𐘘 𐄌 𐘸 𐄊 𐘇 𐘭 𐘲 𐄊 𐘸 𐄇 𐘭 𐘘 𐙁 𐄐 𐙂 𐘁 𐄒 𐘸 𐄐 𐄋 𐝫,AU 𐄁 *516 𐄁 MA DI 15 ? 10 ? QA RU 6 ? 4 ? RI SU 4 ? 1 ? RU MA 10 ? RO 30 ? 15 𐄐 𐄋 𐝫,33,1,0,0,*516; 𐛀,,"15 
 10 
 QA","6 
 4 
 RI",,,,16,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: *516, 𐛀",approximate match (levenshtein=1); 1 logogram(s) present; text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,JARISU,1,1,148,HT115a,Haghia Triada - Casa Room 9,clay,LM IB,0.1,43.0,,SEKUTU,administrative,tablet (page-shaped),𐘨 𐘯 𐘴 𐘱 𐄁 𐘚 𐄁 𐛯 𐘭 𐘳 𐙁 𐘯 𐘣 𐄈 𐙕 𐘉 𐘴 𐘅 𐘐 𐘗 𐘻 𐘅 𐄇 𐘈 𐙂 𐘹 𐝆 𐘂 𐘴 𐘗 𐄇 𐘇 𐘈 𐘱 𐝂 𐝂 𐝂 𐝂 𐘾 𐘊 𐘘 𐄇 𐘭 𐘲 𐙁 𐝫 𐘲 𐄈 𐝂 𐝫 𐝫,*47 NU RA JA 𐄁 I 𐄁 GRA+BOSm RI TA MA NU WI 2 *301 U RA NA *21F NE MI NA 1 SE KU TU ¹⁄₂ PA RA NE 1 A SE JA 𐝂𐝂𐝂𐝂 ? KA PO 1 ? RI SU ? SU 2 ¹⁄₅ 𐝫 𐄈 vase 𐝫 𐝫,51,7,0,0,GRA+BOSm; 𐛯; ¹⁄₂; 𐝆; 𐝂𐝂𐝂𐝂; 𐝂; KA; PO; vase,,*47 NU RA,𐄁 I 𐄁 GRA+BOSm RI,,,,16,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: GRA+BOSm, 𐛯, ¹⁄₂",approximate match (levenshtein=1); 7 logogram(s) present; text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TURISI,1,1,1385,KNZb5,Knossos,pottery/ceramic,MMIIIB,0.1,43.0,,TURISI,religious,Clay vessel,𐘇 𐘹 𐘭 𐘤 𐘠 𐄁,A TU RI SI TI 𐄁,6,0,0,0,,,A,RI SI TI 𐄁,,,,59,no,,toponym/geography,unexpected text type for toponym: religious; ⚠ context mismatch,approximate match (levenshtein=1); text: religious
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSU,1,1,65,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,RIKI,administrative,tablet (page-shaped),𐝫 𐄁 𐝫 𐘽 𐘬 𐝫 𐝫 𐘳 𐘅 𐘠 𐄁 𐄇 𐝫 𐝫 𐝫 𐘭 𐄇 𐘲 𐘸 𐝫 𐝫 𐄇 𐘠 𐘬 𐘝 𐄇 𐝫 𐝫 𐝫 𐘤 𐘴 𐄇 𐘇 𐘘 𐄇 𐚞 𐄇 𐙢 𐄇 𐙂 𐘰 𐘯 𐄇 𐘹 𐘲 𐘜 𐄇 𐘸 𐄇 — 𐝫 𐄋 𐘹 𐄊 𐘸 𐄇 𐝫 𐝫,𐝫 𐄁 RA₂ DU ? TA TI 𐄁 1 ? 𐝫 ? RI ? KI ? 𐝫 ? TI DU 1 ? ? SI RA 1 ? RU ? *370 1 ? 1 ? KU NU 1 TU SU 1 ? KI 1 — ? 𐝫 5 TU 4 KI ? 𐝫 ja 𐄊 ? 𐄇 𐝫 𐝫,58,1,0,0,NU; 𐚞,,"1 
 KU NU 1","SU 1 
 KI 1",,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: NU, 𐚞",approximate match (levenshtein=1); 1 logogram(s) present; text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSU,1,1,1526,PK1,Palaikastro,clay,LMI,0.1,43.0,,TA₂TE1,administrative,tablet (page-shaped),𐘤 𐝫 𐄁 𐝫 𐘗 𐘠 𐄇 𐘾 𐘌 𐄈 — 𐘇 𐘬 𐘍 𐄇 𐘷 𐘳 𐘙 𐄇 — 𐘷 𐘠 𐘃 𐄇 𐘵 𐘾 𐘻 𐘍 𐘤 𐘚 𐘅 𐄇 — 𐘵 𐘃 𐘱 𐄇 — 𐘴 𐘅 𐘹 𐘲 𐄇 𐘝 𐘻 𐄇 — 𐘹 𐘲 𐄇 𐙁 𐘠 𐘍 𐘚 𐘃 𐄇 — 𐙁 𐘃 𐘠 𐄇 𐙁 𐘾 𐘚 𐘳 𐄇,SI 𐄁 NE TI 1 ? KA 2 ? — A ZA 1 ? TA₂ RE 1 ? — TA₂ TE 1 ? O MI ZA SI I NA 1 ? — O JA 1 ? — RA TU SU 1 ? NI 1 ? — TU 1 ? MA ZA I TE 1 ? — MA TI 1 ? MA I TA 1 du? 𐄇,66,0,0,0,,,"JA 1 
 — RA","SU 1 
 NI 1",,,,25,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,RISU,1,1,101,HT81,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐄁𐄁,administrative,tablet (page-shaped),𐘇 𐘈 𐄁 𐛚 𐄁 𐝅 𐝫 𐝫 𐘭 𐘲 𐙁 𐝋 𐘸 𐝫 𐝫,A SE 𐄁 MI+JA+RU 𐄁 ≈ ¹⁄₆ RI SU MA 𐝋 ? ? 𐝫 𐝫,15,3,0,0,MI+JA+RU; 𐛚; ≈; 𐝅; 𐝋,,𐄁 MI+JA+RU 𐄁 ≈ ¹⁄₆,"SU MA 𐝋 
 
",,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: MI+JA+RU, 𐛚, ≈",approximate match (levenshtein=1); 3 logogram(s) present; text: administrative
Τύλισος,Tylisos,Tylissos,tulis,place_name,TURISU,TUSESU,1,1,1091,HTZb158a,Haghia Triada - Villa Magazine Room 5,pottery/ceramic,LM IB,0.1,43.0,,𐄁TUSE,religious,Clay vessel,𐄁 𐝫 𐘹 𐘈 𐘲 𐘸,𐄁 TU SE SU KI ?,6,0,0,0,,,𐄁,SE SU KI ?,,,,2,no,,toponym/geography,unexpected text type for toponym: religious; ⚠ context mismatch,approximate match (levenshtein=1); text: religious
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASITE,1,1,1590,THEZb13,Thera,pottery/ceramic,Uncertain,0.15,39.5,VIN,120KAA,religious,Clay vessel,𐘏 𐛻 𐄙 𐄑 𐘾 𐘇 𐘤 𐝫 𐘃 𐄙 𐄑,QI VIN+TE 120 KA A SI TE 120 te 𐄙 𐄑,11,0,0,1,,VIN+TE,QI VIN+TE 120 KA,SI TE 120 te 𐄙,,,,18,no,,toponym/geography,unexpected text type for toponym: religious; ⚠ context mismatch,approximate match (levenshtein=1); text: religious
