id,english,category,subcategory,era,egyptian_transliteration,consonant_skeleton,la_cv_sequence,la_flat,sign_count,notes
jt,barley/grain,agriculture,grain,Middle,jt,t,TU,TU,1,i.t; basic grain term; e(iōt) in Coptic
bdt,emmer wheat,agriculture,grain,Middle,bdt,bdt,PU+TU+TU,PUTUTU,3,bōte in Coptic; common wheat variety
swt,wheat (swt),agriculture,grain,Middle,swt,swt,SU+WA+TU,SUWATU,3,sūt; generic wheat
nHH,oil (sesame/vegetable),agriculture,oil,Middle,nHH,nHH,NU+A+A,NUAA,3,nḥḥ; vegetable oil; neḥ in Coptic
mrHt,oil/fat/ointment,agriculture,oil,Middle,mrHt,mrHt,MU+RU+A+TU,MURUATU,4,mrḥt; fat/ointment; merḥ in Coptic
bjt,honey,agriculture,food,Middle,bjt,bjt,PU+TU,PUTU,2,bj.t; ebiō in Coptic; beekeeping product
jrp,wine,beverages,wine,Middle,jrp,rp,RU+PU,RUPU,2,jrp; ērp in Coptic; standard wine term
SDr,wine (šdḥ type),beverages,wine,Middle,SDr,SDr,SU+DU+RU,SUDURU,3,šdḥ; a type of wine; Coptic śōre
Hnqt,beer,beverages,beer,Middle,Hnqt,HnQt,A+NU+QA+TU,ANUQATU,4,ḥnḳt; barley beer; ḥenḳe in Coptic
jrtt,milk,agriculture,food,Middle,jrtt,rtt,RU+TU+TU,RUTUTU,3,jrtt; erōte in Coptic
nbw,gold,metals,precious,Middle,nbw,nbw,NU+PU+WA,NUPUWA,3,nbw; nūb in Coptic (ⲛⲟⲩⲃ)
HD,silver,metals,precious,Middle,HD,HD,A+DU,ADU,2,ḥḏ; ḥat in Coptic (ϩⲁⲧ)
Hmt,copper/bronze,metals,base,Middle,Hmt,Hmt,A+MU+TU,AMUTU,3,ḥmt; ḥomt in Coptic
bj^,copper/ore (bjꜣ),metals,base,Middle,bj^,b,PU,PU,1,bjꜣ; copper ore; ba in later form
D'm,electrum,metals,precious,Middle,D'm,Dm,DU+MU,DUMU,2,ḏꜥm; gold-silver alloy; ḏam
Hsbd,lapis lazuli,metals,stones,Middle,Hsbd,Hsbd,A+SU+PU+TU,ASUPUTU,4,"ḥsbḏ; lapis lazuli, major trade commodity"
mfk^t,turquoise,metals,stones,Middle,mfk^t,mfkt,MU+PU+KU+TU,MUPUKUTU,4,mfkꜣt; turquoise from Sinai mines; mefkat
Ss,alabaster/travertine,materials,stone,Middle,Ss,Ss,SU+SU,SUSU,2,šs; alabaster from Hatnub quarries
jnr,stone (generic),materials,stone,Middle,jnr,nr,NU+RU,NURU,2,jnr; generic stone; ōne in Coptic
Xt,wood/timber,materials,wood,Middle,Xt,Xt,KU+TU,KUTU,2,ḫt; wood; ḫe in Coptic
'S,cedar (wood),materials,wood,Middle,'S,S,SU,SU,1,ꜥš; cedar imported from Levant
Sndt,acacia wood,materials,wood,Middle,Sndt,Sndt,SU+NU+TU+TU,SUNUTUTU,4,šnḏt; native Egyptian hardwood
Sndt2,acacia (alt. form),materials,wood,Middle,Sndt2,Sndt,SU+NU+TU+TU,SUNUTUTU,4,Variant writing of acacia
hnw,jar/vessel (hnw-measure),commodities,vessel,Middle,hnw,hnw,A+NU+WA,ANUWA,3,hnw; standard liquid measure (~0.48L); hin
Ds,jar (for wine/oil),commodities,vessel,Middle,Ds,Ds,DU+SU,DUSU,2,ḏs; storage jar; ḏes
nmst,jar/vessel (nemset),commodities,vessel,Middle,nmst,nmst,NU+MU+SU+TU,NUMUSUTU,4,nmst; libation vessel; nemśet
ds,jar/pot,commodities,vessel,Middle,ds,ds,TU+SU,TUSU,2,ds; generic pot/jar
mns^,jar/amphora (Canaanite),commodities,vessel,New,mns^,mns,MU+NU+SU,MUNUSU,3,mnsꜣ; Canaanite amphora; menes
