et_word,la_form,match_type,edit_distance,confidence,evidence
eto,ETO,toponym,0,HIGH,Toponym match: PHAISTOS (pa-i-to). LA fragment: ETO. Edit distance 0.
alo,aro,known_la_word,1,MEDIUM,Known LA word: aro = 'total (accounting term)'. Edit distance 1.
at,ATU,loanword,1,MEDIUM,Loanword match: LA ATU matched to Gk κύαθος 'ladle/cup'. Edit distance 1.
atho,aro,known_la_word,1,MEDIUM,Known LA word: aro = 'total (accounting term)'. Edit distance 1.
atho,pato,known_la_word,1,MEDIUM,Known LA word: pato = 'perhaps related to PHAISTOS? or a unit'. Edit distance 1.
atho,ATU,loanword,1,MEDIUM,Loanword match: LA ATU matched to Gk κύαθος 'ladle/cup'. Edit distance 1.
atho,ITO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ITO. Edit distance 1.
atho,ZATO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ZATO. Edit distance 1.
atho,WATO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: WATO. Edit distance 1.
atho,SATO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: SATO. Edit distance 1.
atho,JATO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: JATO. Edit distance 1.
atho,ETO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ETO. Edit distance 1.
atho,DATO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: DATO. Edit distance 1.
da,IDA,toponym,1,MEDIUM,Toponym match: IDA (i-da). LA fragment: IDA. Edit distance 1.
eo,ETO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ETO. Edit distance 1.
et,ETO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ETO. Edit distance 1.
eto,ITO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: ITO. Edit distance 1.
eto,RETO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: RETO. Edit distance 1.
eto,KETO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: KETO. Edit distance 1.
ital,ITA,toponym,1,MEDIUM,Toponym match: IDA (i-da). LA fragment: ITA. Edit distance 1.
kap,KAI,loanword,1,MEDIUM,Loanword match: LA KAI matched to Gk Λύκαιον 'Lycaeum'. Edit distance 1.
oda,IDA,toponym,1,MEDIUM,Toponym match: IDA (i-da). LA fragment: IDA. Edit distance 1.
phar,PAI,loanword,1,MEDIUM,Loanword match: LA PAI matched to Gk Παισός 'Paisus'. Edit distance 1.
phar,PARE,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PARE. Edit distance 1.
phar,PARO,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PARO. Edit distance 1.
phar,PARU,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PARU. Edit distance 1.
phar,PARI,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PARI. Edit distance 1.
phar,PARA,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PARA. Edit distance 1.
phar,PAA,toponym,1,MEDIUM,Toponym match: PHAISTOS (pa-i-to). LA fragment: PAA. Edit distance 1.
rko,RAKO,loanword,1,MEDIUM,Loanword match: LA RAKO matched to Gk Λακωνία 'Laconia'. Edit distance 1.
set,SEA,loanword,1,MEDIUM,Loanword match: LA SEA matched to Gk Σηπιάς 'Sepias'. Edit distance 1.
