bennett_id,conventional_value,refined_value,decision,confidence,resolved_by_bootstrapping
AB 01,da,da,CONFIRM,100,NO
AB 02,ro,ro,CONFIRM,100,NO
AB 03,pa,pa,CONFIRM,100,NO
AB 04,te,te,CONFIRM,100,NO
AB 05,to,to,CONFIRM,100,NO
AB 06,na,na,CONFIRM,100,NO
AB 07,di,di,CONFIRM,100,NO
AB 08,a,a,CONFIRM,100,NO
AB 09,se,se,CONFIRM,100,NO
AB 10,u,u,CONFIRM,100,NO
AB 11,po,po,CONFIRM,100,NO
AB 12,so,so,CONFIRM,100,NO
AB 13,me,me,CONFIRM,100,NO
AB 14,do,do,CONFIRM,100,NO
AB 15,mo,mo,CONFIRM,100,NO
AB 16,qa,qa,CONFIRM,100,NO
AB 17,za,za,CONFIRM,100,NO
AB 18,?,?,UNCERTAIN,0,NO
AB 19,?,?,UNCERTAIN,0,NO
AB 20,zo,zo,CONFIRM,100,NO
AB 21,qi,qi,CONFIRM,100,NO
AB 22,?,?,UNCERTAIN,0,NO
AB 23,mu,mu,CONFIRM,100,NO
AB 24,ne,ne,CONFIRM,100,NO
AB 25,a2,a2,CONFIRM,100,NO
AB 26,ru,ru,CONFIRM,100,NO
AB 27,re,re,CONFIRM,100,NO
AB 28,i,i,CONFIRM,100,NO
AB 29,pu2,pu2,CONFIRM,100,NO
AB 30,ni,ni,CONFIRM,100,NO
AB 31,sa,sa,CONFIRM,100,NO
AB 32,qo,qo,CONFIRM,100,NO
AB 33,ra3,ra3,CONFIRM,100,NO
AB 34,?,?,UNCERTAIN,0,NO
AB 35,?,?,UNCERTAIN,0,NO
AB 36,jo,jo,CONFIRM,100,NO
AB 37,ti,ti,CONFIRM,100,NO
AB 38,e,e,CONFIRM,100,NO
AB 39,pi,pi,CONFIRM,100,NO
AB 40,wi,wi,CONFIRM,100,NO
AB 41,si,si,CONFIRM,100,NO
AB 42,wo,wo,CONFIRM,100,NO
AB 43,a3,a3,CONFIRM,100,NO
AB 44,ke,ke,CONFIRM,100,NO
AB 45,de,de,CONFIRM,100,NO
AB 46,je,je,CONFIRM,100,NO
AB 47,?,?,UNCERTAIN,0,NO
AB 48,nwa,nwa,CONFIRM,100,NO
AB 49,?,?,UNCERTAIN,0,NO
AB 50,pu,pu,CONFIRM,100,NO
AB 51,du,du,CONFIRM,100,NO
AB 52,no,no,CONFIRM,100,NO
AB 53,ri,ri,CONFIRM,100,NO
AB 54,wa,wa,CONFIRM,100,NO
AB 55,nu,nu,CONFIRM,100,NO
AB 56,?,?,UNCERTAIN,0,NO
AB 57,ja,ja,CONFIRM,100,NO
AB 58,su,su,CONFIRM,100,NO
AB 59,ta,ta,CONFIRM,100,NO
AB 60,ra,ra,CONFIRM,100,NO
AB 61,o,o,CONFIRM,100,NO
AB 62,pte,pte,CONFIRM,100,NO
AB 63,?,?,UNCERTAIN,0,NO
AB 64,?,?,UNCERTAIN,0,NO
AB 65,ju,ju,CONFIRM,100,NO
AB 67,ki,ki,CONFIRM,100,NO
AB 68,ro2,ro2,CONFIRM,100,NO
AB 69,tu,tu,CONFIRM,100,NO
AB 70,ko,ko,CONFIRM,100,NO
AB 71,dwe,dwe,CONFIRM,100,NO
AB 72,pe,pe,CONFIRM,100,NO
AB 73,mi,mi,CONFIRM,100,NO
AB 74,ze,ze,CONFIRM,100,NO
AB 75,we,we,CONFIRM,100,NO
AB 76,ra2,ra2,CONFIRM,100,NO
AB 77,ka,ka,CONFIRM,100,NO
AB 78,qe,qe,CONFIRM,100,NO
AB 79,?,?,UNCERTAIN,0,NO
AB 80,ma,ma,CONFIRM,100,NO
AB 81,ku,ku,CONFIRM,100,NO
AB 82,?,?,UNCERTAIN,0,NO
AB 83,?,?,UNCERTAIN,0,NO
AB 85,au,au,CONFIRM,100,NO
AB 86,?,?,UNCERTAIN,0,NO
AB 87,twe,twe,CONFIRM,100,NO
AB 90,dwo,dwo,CONFIRM,100,NO
AB 91,two,two,CONFIRM,100,NO
LB koe,?,?,UNCERTAIN,0,NO
